index	﻿TIME	FSC-A	FSC-H	FSC-W	BSC-A	BSC-H	BSC-W	lck: EGFP-A-Compensated
lckgfp_s060	400.3727	73852.51	76389.6	171.0	30806.76	26027.68	171.0	1489.4
lckgfp_s061	313.1226	69031.11	68849.76	167.0	59485.93	125108.5	167.0	1956.556
lckgfp_s062	584.0695	42704.02	47015.36	142.0	26605.77	25184.32	142.0	1587.52
lckgfp_s063	336.4981	35752.27	36898.4	118.0	21455.54	22205.12	118.0	1997.639
lckgfp_s064	318.6006	60573.27	62098.4	161.0	71026.36	58200.8	161.0	4007.944
lckgfp_s065	381.7305	39020.69	42192.64	134.0	28642.96	28940.8	134.0	2179.281
lckgfp_s066	322.1592	72823.38	65859.36	170.0	61957.26	52166.24	170.0	2431.97
lckgfp_s067	189.0222	67758.7	57937.6	170.0	102045.1	83446.72	170.0	2047.171
lckgfp_s068	463.0422	41958.21	43738.24	136.0	24966.33	26091.52	136.0	1731.221
lckgfp_s069	311.4813	46034.83	45728.48	142.0	67615.96	67295.2	142.0	4179.043
lckgfp_s070	314.36	40762.38	39836.16	132.0	49258.38	50001.28	132.0	3134.592
lckgfp_s071	428.5399	39504.48	43553.44	136.0	27298.88	27688.64	136.0	1302.464
lckgfp_s072	308.0928	92425.44	62745.76	218.0	90839.41	48080.48	218.0	1318.935
lckgfp_s073	395.5723	61187.38	65640.96	162.0	56474.55	42824.32	162.0	1603.358
lckgfp_s074	688.029	190086.6	175254.2	220.0	118623.9	75995.36	220.0	4210.452
lckgfp_s075	231.7785	54646.79	48959.68	151.0	34486.81	32558.4	151.0	2254.191
lckgfp_s076	259.3091	57890.01	63105.28	158.0	34370.65	29744.96	158.0	2401.534
lckgfp_s077	492.7632	36073.11	37178.4	118.0	21281.96	20487.04	118.0	1413.531
lckgfp_s078	525.976	52520.12	53963.84	154.0	28331.71	24694.88	154.0	1919.588
lckgfp_s079	484.6496	50254.39	51312.8	150.0	36117.93	33458.88	150.0	1827.867
lckgfp_s080	480.2113	46413.33	47863.2	144.0	32768.09	29883.84	144.0	2843.135
lckgfp_s081	481.7216	51398.62	54315.52	152.0	28933.34	26513.76	152.0	2319.295
lckgfp_s082	200.3762	42445.25	45318.56	141.0	49140.43	49913.92	141.0	1925.339
lckgfp_s083	144.2491	61977.51	53748.8	161.0	55219.36	47455.52	161.0	2526.286
lckgfp_s084	64.2536	47655.84	46932.48	147.0	36850.75	32886.56	147.0	2671.167
lckgfp_s085	588.0626	60156.12	59995.04	161.0	80863.85	66740.8	161.0	1582.418
lckgfp_s086	547.9146	64727.24	65187.36	166.0	32452.5	26744.48	166.0	1391.692
lckgfp_s087	663.5771	42005.36	42829.92	137.0	32349.83	31666.88	137.0	1484.71
lckgfp_s088	383.0356	37808.81	41810.72	131.0	27091.51	27391.84	131.0	1813.239
lckgfp_s089	649.4185	45023.97	40744.48	137.0	43144.39	37133.6	137.0	1806.382
lckgfp_s090	544.3514	34014.73	37415.84	119.0	22730.9	22904.0	119.0	1828.811
lckgfp_s091	576.1736	45707.6	50246.56	146.0	33257.23	33893.44	146.0	1470.082
lckgfp_s092	39.15798	40811.88	43695.68	138.0	36603.43	32449.76	138.0	1477.485
lckgfp_s093	651.2666	34405.26	38231.2	120.0	22377.48	22365.28	120.0	1941.117
lckgfp_s094	553.2589	42603.99	42703.36	138.0	32833.95	29112.16	138.0	2030.537
lckgfp_s095	118.7366	40234.2	45749.76	138.0	24250.17	23957.92	138.0	1819.24
lckgfp_s096	690.2948	46996.61	45601.92	145.0	45361.77	43375.36	145.0	1416.893
lckgfp_s097	560.7149	155379.6	132128.6	224.0	145231.1	84323.68	224.0	2633.299
lckgfp_s098	85.31289	63767.09	60204.48	163.0	36366.67	34677.44	163.0	1351.981
lckgfp_s099	230.0995	61050.3	60401.6	161.0	52174.87	45925.6	161.0	2485.896
lckgfp_s100	520.0647	167610.1	143357.8	219.0	390994.8	223847.7	219.0	1807.311
lckgfp_s101	613.6949	48321.27	47569.76	146.0	33401.39	30038.4	146.0	1587.786
lckgfp_s102	468.6615	49960.65	50957.76	150.0	35322.32	31601.92	150.0	2990.862
lckgfp_s103	454.2561	42497.09	44656.64	139.0	84644.12	61910.24	139.0	3763.867
lckgfp_s104	499.2052	77988.44	47859.84	191.0	217322.7	123515.8	191.0	1877.694
lckgfp_s105	411.8865	36385.48	40763.52	129.0	27515.02	28213.92	129.0	1858.376
lckgfp_s106	643.7997	55300.98	52584.0	156.0	49985.54	46781.28	156.0	1442.315
lckgfp_s107	478.8624	75932.65	80747.52	173.0	63955.38	51768.64	173.0	1853.51
lckgfp_s108	695.8195	47332.44	46140.64	145.0	36174.14	31578.4	145.0	1548.03
lckgfp_s109	660.0516	167485.2	158154.1	210.0	330347.5	214123.8	210.0	3059.608
lckgfp_s110	554.153	34276.0	40012.0	126.0	74111.91	56760.48	126.0	2169.239
lckgfp_s111	639.9988	48072.28	43732.64	141.0	80524.1	69419.84	141.0	1811.351
lckgfp_s112	697.0355	59162.18	56511.84	160.0	30472.26	26797.12	160.0	6446.565
lckgfp_s113	345.548	38454.69	41653.92	133.0	26550.22	27456.8	133.0	2676.696
lckgfp_s114	421.4006	38534.93	39161.92	126.0	24366.05	25723.04	126.0	1737.075
lckgfp_s115	597.1968	39221.5	40784.8	132.0	46339.48	49432.32	132.0	1440.398
lckgfp_s116	674.3102	36127.12	41099.52	128.0	29341.75	31314.08	128.0	2121.978
lckgfp_s117	363.8262	35048.07	39146.24	124.0	32319.86	35113.12	124.0	1335.421
lckgfp_s118	489.4144	356688.6	176736.0	372.0	545728.1	152781.4	372.0	2753.745
lckgfp_s119	275.8909	38428.68	41543.04	131.0	23405.68	23178.4	131.0	2187.273
lckgfp_s120	225.0286	67536.7	70472.64	167.0	46921.79	41715.52	167.0	1642.553
lckgfp_s121	667.9067	55795.89	56511.84	155.0	53768.29	48758.08	155.0	2445.994
lckgfp_s122	605.6884	105726.4	111436.6	182.0	275467.0	227161.8	182.0	1970.963
lckgfp_s123	507.1922	232468.5	192361.1	250.0	515219.4	272095.0	250.0	7257.939
lckgfp_s124	1039.295	67318.66	65234.4	166.0	39079.43	32077.92	166.0	2470.325
lckgfp_s125	1344.906	41786.95	43581.44	137.0	38987.24	40636.96	137.0	1359.782
lckgfp_s126	1344.996	69797.59	68131.84	169.0	44353.42	40044.48	169.0	1372.655
lckgfp_s127	1031.662	77974.45	74516.96	177.0	56113.34	49554.4	177.0	1773.837
lckgfp_s128	1260.328	52193.76	53261.6	153.0	34149.83	31827.04	153.0	2319.221
lckgfp_s129	523.0524	44543.48	44514.4	140.0	31440.34	28462.56	140.0	2308.0
lckgfp_s130	1258.898	143588.2	132245.1	207.0	189473.1	133900.5	207.0	5114.447
lckgfp_s131	1027.359	37075.32	38000.48	123.0	34346.88	38878.56	123.0	1521.517
lckgfp_s132	1378.159	47036.88	50077.44	146.0	38536.29	34609.12	146.0	1379.173
lckgfp_s133	477.2439	63214.38	58384.48	165.0	42671.57	36713.6	165.0	1945.334
lckgfp_s134	1320.885	47481.3	41708.8	139.0	39104.33	36664.32	139.0	1420.417
lckgfp_s135	1382.766	56616.52	58275.84	158.0	48328.25	43822.24	158.0	1285.255
lckgfp_s136	1310.046	41424.4	42984.48	136.0	27436.52	29837.92	136.0	1803.359
lckgfp_s137	82.01952	51636.38	51315.04	150.0	38541.62	37040.64	150.0	2201.872
lckgfp_s138	1340.473	60999.64	67700.64	162.0	34681.38	33382.72	162.0	1559.93
lckgfp_s139	1008.385	39452.61	37341.92	123.0	33857.18	32016.32	123.0	1361.168
lckgfp_s140	1291.894	54028.35	48370.56	152.0	65808.02	56398.72	152.0	2062.05
lckgfp_s141	961.2057	52901.71	59609.76	153.0	99705.45	96184.48	153.0	2009.244
lckgfp_s142	160.9215	47514.29	52738.56	148.0	46726.6	47947.2	148.0	2949.838
lckgfp_s143	348.2734	173190.5	107337.4	295.0	538003.3	221987.4	295.0	1622.542
lckgfp_s144	349.2549	47440.75	45765.44	143.0	133552.8	120888.3	143.0	1382.432
lckgfp_s145	1508.461	49834.18	50123.36	150.0	35083.61	27875.68	150.0	2905.497
lckgfp_s146	561.7485	83220.88	65113.44	185.0	36535.59	20423.2	185.0	2746.622
lckgfp_s147	931.8181	50154.56	49495.04	149.0	43330.81	37941.12	149.0	1636.05
lckgfp_s148	1129.856	49402.85	54734.4	150.0	27178.72	26063.52	150.0	1391.471
lckgfp_s149	520.5999	43350.54	43211.84	137.0	23361.69	23393.44	137.0	1558.456
lckgfp_s150	1324.552	37509.08	37979.2	121.0	40873.64	53348.96	121.0	1619.505
lckgfp_s151	1135.365	46225.78	45564.96	145.0	28766.61	24772.16	145.0	1855.014
lckgfp_s152	1068.152	55076.65	56064.96	156.0	57272.4	52339.84	156.0	1635.386
lckgfp_s153	1150.229	163835.2	92116.64	258.0	279783.7	144568.5	258.0	2779.167
lckgfp_s154	1316.747	49053.72	53095.84	151.0	42053.02	36310.4	151.0	2862.305
lckgfp_s155	253.2232	54247.33	53456.48	153.0	37346.24	34569.92	153.0	1643.438
lckgfp_s156	1132.441	44207.73	43046.08	138.0	29412.4	30293.76	138.0	2568.268
lckgfp_s157	1382.532	80180.43	71806.56	177.0	60789.14	47900.16	177.0	1658.272
lckgfp_s158	182.2465	48641.95	50107.68	149.0	40364.54	39130.56	149.0	3670.848
lckgfp_s159	153.4513	61254.92	56299.04	162.0	57162.51	45858.4	162.0	2322.274
lckgfp_s160	1371.833	36056.5	40816.16	128.0	61417.11	59067.68	128.0	1330.201
lckgfp_s161	1249.893	64878.64	67624.48	164.0	53244.28	45609.76	164.0	1488.294
lckgfp_s162	1444.045	144795.9	153755.8	195.0	250271.0	191801.1	195.0	2833.639
lckgfp_s163	28.98768	104325.1	108245.8	182.0	257478.7	196007.8	182.0	3602.028
